model_id,overlap_row_vs_google/gemma-2-2b,overlap_row_vs_Qwen/Qwen2.5-Coder-0.5B
allenai/OLMoE-1B-7B-0924,0.000800,0.001300
allenai/llama-3.1-tulu-2-8b,0.004500,0.025200
allura-org/Koto-Small-7B-PT,0.006600,0.101700
arcee-ai/Llama-3.1-SuperNova-Lite,0.005800,0.026500
arcee-ai/Meraj-Mini,0.006400,0.049400
argilla/distilabeled-Marcoro14-7B-slerp,0.003000,0.001900
askfjhaskjgh/UbermenschetienASI,0.004600,0.024000
augmxnt/shisa-base-7b-v1,0.008000,0.007500
bardsai/jaskier-7b-dpo-v5.6,0.000700,0.001100
berkeley-nest/Starling-LM-7B-alpha,0.001800,0.004500
beruniy/Llama-3.2-3B-Instruct-Uz,0.004100,0.005600
beyoru/Luna,0.006700,0.079700
bigcode/starcoder2-3b,0.001400,0.001500
bigscience/bloom-560m,0.013700,0.000500
bigscience/bloomz-1b1,0.024100,0.000100
bigscience/bloomz-1b7,0.009700,0.007000
bigscience/bloomz-560m,0.023000,0.000500
bxod/Llama-3.2-1B-Instruct-uz,0.002900,0.006100
chatitcloud/UZI1,0.079800,0.001000
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.004600,0.018200
continuedev/instinct,0.005600,0.034600
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.007500,0.039500
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0.005200,0.020200
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.003400,0.005900
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.003000,0.012300
deepseek-ai/deepseek-coder-1.3b-base,0.000600,0.001600
dicta-il/dictalm2.0,0.000200,0.001100
dnotitia/Smoothie-Qwen3-1.7B,0.006900,0.118800
dphn/Dolphin3.0-Llama3.1-8B,0.007800,0.024100
elyza/Llama-3-ELYZA-JP-8B,0.005000,0.020700
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,0.001000,0.000900
fblgit/UNA-TheBeagle-7b-v1,0.001500,0.000500
flemmingmiguel/MBX-7B-v3,0.001900,0.001900
fluently/FluentlyQwen3-1.7B,0.004900,0.059000
google/gemma-2-2b-it,0.018400,0.007200
google/gemma-2-2b-jpn-it,0.013800,0.008600
google/gemma-2b-it,0.005000,0.006100
google/gemma-3-1b-it,0.008500,0.006700
google/gemma-3-1b-pt,0.081000,0.000100
google/gemma-3-270m,0.106700,0.000400
google/gemma-3-4b-it,0.010200,0.001400
google/gemma-3-4b-pt,0.008500,0.000100
gradientai/Llama-3-8B-Instruct-262k,0.006000,0.030200
huihui-ai/Huihui-Jan-v1-4B-abliterated,0.004900,0.061700
inference-net/Schematron-3B,0.004100,0.027200
janhq/Jan-v1-4B,0.004800,0.039600
janhq/Jan-v1-edge,0.006300,0.045900
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,0.006600,0.098300
kevin009/llamaRAGdrama,0.001600,0.000800
lmsys/vicuna-7b-v1.1,0.035200,0.001100
lmsys/vicuna-7b-v1.5,0.026700,0.002300
lmsys/vicuna-7b-v1.5-16k,0.006900,0.001600
meta-llama/Llama-3.1-8B-Instruct,0.004000,0.022500
meta-llama/Llama-3.2-1B-Instruct,0.005600,0.038100
meta-llama/Llama-3.2-3B-Instruct,0.006200,0.035700
meta-llama/Llama-Guard-3-8B,0.004200,0.021300
meta-llama/Llama-3.1-8B,0.005900,0.026300
microsoft/UserLM-8b,0.007800,0.035800
mistralai/Mistral-7B-Instruct-v0.1,0.001700,0.001800
mistralai/Mistral-7B-v0.1,0.003600,0.000300
mlabonne/Beagle14-7B,0.001800,0.000700
mlabonne/Marcoro14-7B-slerp,0.002000,0.000700
mlabonne/NeuralBeagle14-7B,0.001700,0.000600
mlabonne/OmniBeagle-7B,0.001600,0.000200
nvidia/Llama-3.1-8B-Instruct-FP8,0.036500,0.000000
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.007600,0.040600
nvidia/OpenCodeReasoning-Nemotron-7B,0.005600,0.036000
nvidia/OpenMath-Nemotron-1.5B,0.003700,0.000600
nvidia/OpenMath2-Llama3.1-8B,0.006000,0.028900
nvidia/OpenReasoning-Nemotron-1.5B,0.004500,0.027900
shadowml/BeagSake-7B,0.001500,0.000800
shadowml/BeagleSempra-7B,0.001700,0.000400
shadowml/WestBeagle-7B,0.002800,0.000300
swiss-ai/Apertus-8B-2509,0.012800,0.000700
unsloth/Llama-3.1-8B,0.004700,0.023000
unsloth/Llama-3.2-1B-Instruct,0.005500,0.039200
unsloth/Llama-3.2-3B-Instruct,0.005000,0.031400
unsloth/Meta-Llama-3.1-8B-Instruct,0.004700,0.034100
unsloth/Qwen2.5-0.5B-Instruct,0.005300,0.069600
unsloth/Qwen2.5-1.5B,0.008400,0.178700
unsloth/Qwen2.5-1.5B-Instruct,0.006800,0.119500
unsloth/Qwen2.5-Math-1.5B,0.003800,0.010400
Qwen/Qwen2.5-Coder-0.5B,0.007800,1.000000
google/gemma-2-2b,1.000000,0.005800
