base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,blakenp/Qwen2.5-1.5B-Policy,5,0.012,2000,"[0.0155, 0.0055, 0.011, 0.0185, 0.0095]"
Qwen/Qwen2.5-0.5B,menglc/SliMM-Qwen2-0.5B,5,0.0288,2000,"[0.022, 0.028, 0.01, 0.036, 0.048]"
Qwen/Qwen2.5-0.5B,menglc/SliMM-DeepStackM-Qwen2-0.5B,5,0.0112,2000,"[0.009, 0.019, 0.0035, 0.0175, 0.007]"
Qwen/Qwen2.5-0.5B,ZzWater/viitor-voice-mix,5,0.0046,2000,"[0.003, 0.0085, 0.005, 0.0035, 0.003]"
Qwen/Qwen2.5-0.5B,cavendishlabs/Qwen2-0.5B-SFT-run-004,5,0.0353,2000,"[0.0575, 0.018, 0.0495, 0.029, 0.0225]"
Qwen/Qwen2.5-0.5B,lchen915/Qwen2-0.5B-SFT,5,0.0267,2000,"[0.0075, 0.033, 0.0255, 0.0555, 0.012]"
Qwen/Qwen2.5-0.5B,cavendishlabs/dpo_output_5,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,cavendishlabs/dpo_output_7,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,cavendishlabs/dpo_output_8,5,0.0517,2000,"[0.068, 0.031, 0.0565, 0.05, 0.053]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_49825b57-054e-4214-83c5-833a3012dc80,5,0.0368,2000,"[0.0585, 0.0195, 0.0465, 0.0345, 0.025]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_94e65cc9-e6da-4aca-bb2c-bac0c684d616,5,0.0379,2000,"[0.057, 0.019, 0.05, 0.0375, 0.026]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_266daa7d-5675-4065-86bc-67ecd49d06cb,5,0.0359,2000,"[0.055, 0.018, 0.0455, 0.0325, 0.0285]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_a9aa1a93-d9e2-4b88-81b7-2743d0b57090,5,0.036199999999999996,2000,"[0.0555, 0.018, 0.0485, 0.0335, 0.0255]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_e4da8eae-921c-47f6-8bfe-f04a7360a715,5,0.038400000000000004,2000,"[0.061, 0.018, 0.047, 0.035, 0.031]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_e70c124d-b4c6-42bf-9051-1047ec9f8ee9,5,0.0372,2000,"[0.056, 0.017, 0.0495, 0.037, 0.0265]"
Qwen/Qwen2.5-0.5B,summerstay/models-moved,5,0.0249,2000,"[0.006, 0.0355, 0.0195, 0.0525, 0.011]"
Qwen/Qwen2.5-0.5B,willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,5,0.0268,2000,"[0.0385, 0.0235, 0.021, 0.0095, 0.0415]"
Qwen/Qwen2.5-0.5B,Tdat1/autotrain-r97ds-p7slv,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,zheminh/Qwen2-0.5B-SFT,5,0.046200000000000005,2000,"[0.06, 0.028, 0.0495, 0.048, 0.0455]"
Qwen/Qwen2.5-0.5B,XiangyuWen/Qwen2-0.5B-SFT,5,0.047099999999999996,2000,"[0.0595, 0.0305, 0.0495, 0.0495, 0.0465]"
Qwen/Qwen2.5-0.5B,Super007/aversi,5,0.020300000000000002,2000,"[0.019, 0.017, 0.032, 0.016, 0.0175]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-stf-hh,5,0.0314,2000,"[0.0375, 0.021, 0.039, 0.0385, 0.021]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-stf-imdb,5,0.047099999999999996,2000,"[0.0505, 0.037, 0.0555, 0.041, 0.0515]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-stf-tldr,5,0.040100000000000004,2000,"[0.0405, 0.0235, 0.0465, 0.0445, 0.0455]"
Qwen/Qwen2.5-0.5B,nishitha256/Qwen2-0.5B-SFT,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,diao-92/Qwen2-0.5B-SFT,5,0.0263,2000,"[0.003, 0.04, 0.023, 0.057, 0.0085]"
Qwen/Qwen2.5-0.5B,diao-92/Qwen2-0.5B-SFT-2,5,0.0289,2000,"[0.0375, 0.0305, 0.0275, 0.0325, 0.0165]"
Qwen/Qwen2.5-0.5B,gpucce/Qwen2-0.5B-SFT,5,0.053500000000000006,2000,"[0.063, 0.0455, 0.06, 0.0475, 0.0515]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-tp,5,0.0531,2000,"[0.069, 0.032, 0.0575, 0.052, 0.055]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-DPO-imdb-bm,5,0.051000000000000004,2000,"[0.0675, 0.0315, 0.055, 0.0485, 0.0525]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-wp,5,0.0521,2000,"[0.068, 0.03, 0.0575, 0.0515, 0.0535]"
Qwen/Qwen2.5-0.5B,Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-rp,5,0.0508,2000,"[0.0665, 0.0325, 0.057, 0.049, 0.049]"
Qwen/Qwen2.5-0.5B,olegGerbylev/Qwen2-0.5B-from-scratch,5,0.022699999999999998,2000,"[0.0255, 0.0255, 0.019, 0.023, 0.0205]"
Qwen/Qwen2.5-0.5B,stpete2/Qwen2-0.5B-math-grpo,5,0.0611,2000,"[0.086, 0.041, 0.0655, 0.043, 0.07]"
Qwen/Qwen2.5-0.5B,stpete2/Qwen2-0.5B-math-cppo,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,stpete2/Qwen2-0.5B-gsm8k-grpo,5,0.0611,2000,"[0.092, 0.041, 0.063, 0.051, 0.0585]"
Qwen/Qwen2.5-0.5B,stpete2/Qwen2-0.5B-gsm8k-cppo,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,OpenVINO/Qwen2-0.5B-fp16-ov,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,tanspring/51921ecf-ebcb-4c3b-9a27-13137b27c506,5,0.034699999999999995,2000,"[0.039, 0.0175, 0.043, 0.0365, 0.0375]"
Qwen/Qwen2.5-0.5B,tanspring/9645c4ca-b61b-482d-a91c-b68a71e06410,5,0.0381,2000,"[0.047, 0.036, 0.0395, 0.0375, 0.0305]"
Qwen/Qwen2.5-0.5B,FormlessAI/869c8670-3e77-4057-ab31-3f476d0520cc,5,0.0571,2000,"[0.0775, 0.04, 0.0605, 0.051, 0.0565]"
Qwen/Qwen2.5-0.5B,FormlessAI/d84419b5-2185-433b-9661-35c823d5d3a5,5,0.0212,2000,"[0.025, 0.0165, 0.015, 0.0195, 0.03]"
Qwen/Qwen2.5-0.5B,nurik0210/Qwen2-0.5B-UZB-Custom,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,basebala/Qwen2-0.5B-SFT,5,0.0462,2000,"[0.0605, 0.0295, 0.047, 0.0495, 0.0445]"
Qwen/Qwen2.5-0.5B,PhucNT2511/Qwen2-FT-MyDataset-SchedulerConstant,5,0.0324,2000,"[0.031, 0.0305, 0.049, 0.028, 0.0235]"
Qwen/Qwen2.5-0.5B,PhucNT2511/Qwen2-FT-MyDataset-SchedulerCosine,5,0.027999999999999997,2000,"[0.0305, 0.022, 0.0385, 0.022, 0.027]"
Qwen/Qwen2.5-0.5B,ankhanhtran02/Qwen-SFT-4,5,0.054200000000000005,2000,"[0.0735, 0.048, 0.0585, 0.054, 0.037]"
Qwen/Qwen2.5-0.5B,ankhanhtran02/Qwen-SFT-5,5,0.0502,2000,"[0.067, 0.031, 0.0575, 0.052, 0.0435]"
Qwen/Qwen2.5-0.5B,FormlessAI/29801858-871a-41f1-9ccf-13b2d65edc3c,5,0.054000000000000006,2000,"[0.067, 0.032, 0.058, 0.0465, 0.0665]"
Qwen/Qwen2.5-0.5B,RLHF-And-Friends/TLDR-Qwen2-0.5B-SmallSFT,5,0.0494,2000,"[0.0665, 0.03, 0.0505, 0.05, 0.05]"
Qwen/Qwen2.5-0.5B,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2,5,0.0504,2000,"[0.0535, 0.0505, 0.0515, 0.057, 0.0395]"
Qwen/Qwen2.5-0.5B,hoangdo001/Qwen2-0.5B-SFT,5,0.05639999999999999,2000,"[0.0725, 0.0365, 0.059, 0.0565, 0.0575]"
Qwen/Qwen2.5-0.5B,2reb/TinyToolUse-Qwen2-0.5B-Calculator,5,0.051500000000000004,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.0525]"
Qwen/Qwen2.5-0.5B,tarabukinivanhome/f8ee752c-7c34-483e-97c1-df292d1703a9,5,0.05639999999999999,2000,"[0.0725, 0.037, 0.062, 0.0575, 0.053]"
Qwen/Qwen2.5-0.5B,sjbbihan/Qwen2-0.5B-SFT,5,0.0482,2000,"[0.0635, 0.0235, 0.051, 0.0545, 0.0485]"
Qwen/Qwen2.5-0.5B,apriasmoro/f9a66004-23ff-406b-a1e5-ab8c54795d56,5,0.034199999999999994,2000,"[0.0575, 0.0155, 0.0265, 0.0265, 0.045]"
Qwen/Qwen2.5-0.5B,sergiopaniego/Qwen2-0.5B-SFT,5,0.0501,2000,"[0.066, 0.0315, 0.055, 0.0485, 0.0495]"
Qwen/Qwen2.5-0.5B,vikasp1610/qwen-sql-ft,5,0.0298,2000,"[0.033, 0.0245, 0.0315, 0.0285, 0.0315]"
Qwen/Qwen2.5-0.5B,vikasp1610/qwen-sql-qlora,0,-1.0,2000,[]
