Family,Threshold,Before_FP,Before_FPR,Before_Accuracy,Before_F1,After_FP,After_FPR,After_Accuracy,After_F1,FP_Change
Qwen,0.005,4.0,3.85%,96.83%,97.02%,0.0,0.00%,97.62%,98.11%,-4
LLaMA,0.005,101.0,92.66%,54.22%,68.88%,11.0,84.62%,72.50%,83.08%,-90
Qwen,0.01,0.0,0.00%,97.29%,97.37%,0.0,0.00%,92.86%,94.12%,0
LLaMA,0.01,13.0,11.93%,92.44%,92.95%,3.0,23.08%,92.50%,94.74%,-10
Qwen,0.025,0.0,0.00%,95.02%,95.07%,0.0,0.00%,88.10%,89.80%,0
LLaMA,0.025,2.0,1.83%,96.89%,96.94%,1.0,7.69%,97.50%,98.18%,-1
Qwen,0.05,0.0,0.00%,92.31%,92.17%,0.0,0.00%,85.71%,87.50%,0
LLaMA,0.05,0.0,0.00%,96.00%,95.96%,0.0,0.00%,100.00%,100.00%,0
